dateTime_UTC,Wtemp_C,Discharge_m3s,SpecCond_uScm,DO_mgL,DO_percentsat,pH,nitrateNitrite_mgL
2018-01-01 05:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 05:15:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 05:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 05:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 06:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 06:15:00,NA,47.005888,NA,NA,NA,NA,NA
2018-01-01 06:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 06:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 07:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 07:15:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 07:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 07:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 08:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 08:15:00,NA,48.704896,NA,NA,NA,NA,NA
2018-01-01 08:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 08:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 09:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 09:15:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 09:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 09:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 10:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 10:15:00,NA,50.120736,NA,NA,NA,NA,NA
2018-01-01 10:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 10:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 11:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 11:15:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 11:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 11:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 12:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 12:15:00,NA,52.102912,NA,NA,NA,NA,NA
2018-01-01 12:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 12:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 13:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 13:15:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 13:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 13:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 14:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 14:15:00,NA,52.669248,NA,NA,NA,NA,NA
2018-01-01 14:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 14:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 15:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 15:15:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 15:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 15:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 16:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 16:15:00,NA,52.38608,NA,NA,NA,NA,NA
2018-01-01 16:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 16:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 17:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 17:15:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 17:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 17:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 18:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 18:15:00,NA,52.38608,NA,NA,NA,NA,NA
2018-01-01 18:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 18:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 19:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 19:15:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 19:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 19:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 20:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 20:15:00,NA,52.38608,NA,NA,NA,NA,NA
2018-01-01 20:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 20:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 21:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 21:15:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 21:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 21:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 22:00:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 22:15:00,NA,56.067264,NA,NA,NA,NA,NA
2018-01-01 22:30:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 22:45:00,NA,NA,NA,NA,NA,NA,NA
2018-01-01 23:00:00,NA,NA,NA,NA,NA,NA,NA