"date","Q.lawrence_Ls","Q.wakarusa_Ls","Q.stranger_Ls","Q.desoto_Ls","Q.farmland_Ls","Nitrate.farmland_mgNL","Ammonia.farmland_mgNL","Nitrate.bowersock_mgNL","Nitrate.desoto_mgNL","Nitrate.steve_mgNL","Nitrate.eric_mgNL","NitrateLoad.farmland_kgNday","NitrateLoad.bowersock_kgNday","NitrateLoad.desoto_kgNday","NitrateLoad.steve_kgNday","NitrateLoad.eric_kgNday"
2018-01-01,53235.584,159.240705,330.834613,53825.51733,0,535,247,0,0,0,0,0,0,0,0,0
2018-01-02,57078.01644,174.838542,286.070472,65836.56,0,535,247,0,0,0,0,0,0,0,0,0
2018-01-03,60686.78902,182.510625,229.599277,60833.92533,0,535,247,0,0,0,0,0,0,0,0,0
2018-01-04,66686.064,179.301388,201.462233,61093.496,12.99658,535,247,0,0,0,0,600.75391392,0,0,0,0
2018-01-05,78508.328,181.366154,194.088067,68691.83733,12.491859,580,250,0,0,0,0,625.992038208,0,0,0,0
2018-01-06,81977.136,175.404878,231.824493,74732.75467,0,563,248.5,0,0,0,0,0,0,0,0,0
2018-01-07,66365.06821,186.660806,257.783169,75110.312,0,546,247,0,0,0,0,0,0,0,0,0
2018-01-08,54296.48078,195.795924,308.5551,59654.05867,0,529,245.5,0,0,0,0,0,0,0,0,0
2018-01-09,52772.48633,210.028065,430.612919,53542.34933,11.230055,512,244,0,0,0,0,496.781697024,0,0,0,0
2018-01-10,60697.25744,225.000573,611.790363,54722.216,15.394008,465,225,0,0,0,0,618.469665408,0,0,0,0
2018-01-11,64208.61114,501.832689,884.9,60621.54933,20.441224,492,217,0,0,0,0,868.9319027712,0,0,0,0
2018-01-12,43651.02141,267.226575,902.833973,50521.89067,0,372,187,0,0,0,0,0,0,0,0,0
2018-01-13,43498.85897,244.645353,864.842267,49530.80267,0,297.875,148.25,0,0,0,0,0,0,0,0,0
2018-01-14,45398.31967,243.642467,704.144427,50380.30667,0,223.75,109.5,0,0,0,0,0,0,0,0,0
2018-01-15,44676.63456,268.664489,557.369013,48657.70133,0,149.625,70.75,0,0,0,0,0,0,0,0,0
2018-01-16,46198.33481,235.289011,435.842747,43371.89867,8.643357,75.5,32,0,0,0,0,56.3823463824,0,0,0,0
2018-01-17,46345.16267,220.225063,422.864213,43961.832,8.138635,465,252,0,0,0,0,326.97779976,0,0,0,0
2018-01-18,48563.312,235.676681,406.44486,48563.312,7.381553,448,237,0,0,0,0,285.7192482816,0,0,0,0
2018-01-19,50537.5593,242.034898,425.164953,51536.576,10.031341,508,256,0.297016184210526,0,0,0,440.2875940992,1296.90486915257,0,0,0
2018-01-20,50061.46828,277.663922,534.398363,53046.80533,0,352.266666666667,174.266666666667,0.312707864583333,0,0,0,0,1352.55872249957,0,0,0
2018-01-21,56953.14722,305.99547,938.587122,55500.928,0,196.533333333333,92.5333333333334,0.300197375,0,0,0,0,1477.19680935257,0,0,0
2018-01-22,65578.95578,380.06455,2760.825074,66568.07733,45.929663,40.8,10.8,0.220684322916667,0,0,0,161.90757363456,1250.40218001621,0,0,0
2018-01-23,65111.92522,311.071847,1133.768134,71051.57067,20.125773,362,165,0.220962145833333,0,0,0,629.4697769664,1243.06018985814,0,0,0
2018-01-24,62436.57756,2028.89577,1348.741496,68385.072,12.113318,440,213,0.25130171875,0,0,0,460.499897088,1355.65222351931,0,0,0
2018-01-25,64677.341,5769.842967,1360.898898,71759.49067,16.21418,423,214,0.239768145833333,0,0,0,592.582879296,1339.85371354562,0,0,0
2018-01-26,75363.00011,5486.674967,1299.509015,80295.11808,14.384565,467,222,0.226150385416667,0,0,0,580.399936272,1472.54729941723,0,0,0
2018-01-27,69127.40478,5435.350767,1185.14657,81599.57867,0,375.333333333333,174.333333333333,0.276557822916667,0,0,0,0,1651.77140283383,0,0,0
2018-01-28,56950.19756,5423.5521,1105.41708,69212.64045,0,283.666666666667,126.666666666667,0.290523822916667,0,0,0,0,1429.52161918959,0,0,0
2018-01-29,56434.98911,5380.781933,1098.367377,62972.43367,13.627482,192,79,0.285119458333333,0,0,0,226.0635734016,1390.23764865424,0,0,0
2018-01-30,64992.44968,5371.932933,890.138608,66786.35267,14.069114,488,258,0.285533895833333,0,0,0,593.1988674048,1603.37209163463,0,0,0
2018-01-31,65382.31133,7304.554533,1009.584293,72113.45067,8.390996,474,260,0.240650416666667,0.888214285714286,0,0,343.6414937856,1359.44183210638,5534.10982747409,0,0
2018-02-01,67456.91022,11352.08713,824.171121,72856.76667,13.375122,484,240,0.219786510416667,0.842916666666667,0,0,559.3155017472,1280.9766730243,5306.01260304276,0,0
2018-02-02,66959.39978,11213.15783,617.272011,75567.51033,12.80731,543,263,0.236393364583333,0.829270833333333,0,0,600.857510112,1367.60467430661,5414.33654763417,0,0
2018-02-03,73612.86456,11068.3292,724.519503,75800.534,0,440.333333333333,229.666666666667,0.23385334375,0.816770833333333,0,0,0,1487.34269456013,5349.167883846,0,0
2018-02-04,85968.12261,11065.08457,673.347163,94145.74796,0,337.666666666667,196.333333333333,0.205412635416667,0.759166666666667,0,0,0,1525.73229738517,6175.20790019232,0,0
2018-02-05,82467.11209,11032.9332,519.377307,87251.14,7.003012,235,163,0.117986097222222,0.677395833333333,0,0,142.189155648,840.669641684926,5106.54747078,0,0
2018-02-06,67613.24256,11080.7178,516.07368,72420.216,14.258384,636,327,0,0.694375,0,0,783.5039041536,0,4344.778438704,0,0
2018-02-07,61361.91567,7901.98002,512.770053,76010.89377,11.924047,601,328,0.246633538461538,0.816875,0,0,619.1728341408,1307.56951196386,5364.69686049906,0,0
2018-02-08,87013.20022,262.597025,614.221731,74774.05,7.255373,615,316,0.167198645833333,0.900104166666667,0,0,385.521499728,1256.98947088971,5815.10309445,0,0
2018-02-09,95697.78139,218.402169,628.381255,95482.31891,25.67771,476,235,0.15563734375,0.8190625,0,0,1056.031772544,1286.85443025379,6756.99726230397,0,0
2018-02-10,76464.49445,201.940079,582.854133,80755.974,16.781992,507,259,0.125824875,0.824583333333333,0.513194361111111,0,735.1318031616,831.266103407856,5753.378611656,3390.43513336864,0
2018-02-11,68432.26667,188.088445,599.844213,70455.738,12.050227,538,283,0.102012447916667,0.858854166666667,0.52200203125,0,560.1331116864,603.153478612179,5228.16803829,3086.36198249314,0
2018-02-12,67202.1106,185.976483,623.67752,74866.47289,22.5232,569,307,0.08493596875,0.837395833333333,0.552049010416667,0,1107.27654912,493.160518009928,5416.66418006439,3205.34138776102,0
2018-02-13,70289.57344,192.482703,622.246618,69345.54724,14.447655,569,312,0.0977105104166667,0.864375,0.392955552083333,0,710.269836048,593.397800449244,5178.86415897768,2386.42659102101,0
2018-02-14,75356.11756,205.204463,652.180615,68673.90336,15.835639,578,304,0.140298189473684,0.853020833333333,0.41928884375,0,790.8191431488,913.449040655107,5061.33535153536,2729.89262026554,0
2018-02-15,75419.47997,228.935429,774.262217,77340.26,16.971263,572,290,0,0.904078947368421,0.457311236111111,0,838.7333944704,0,6041.23495344,2979.95117287143,0
2018-02-16,64671.87152,222.516954,820.347031,72514.60533,11.545506,554,280,0.637376,0.939583333333333,0.690991774193548,0,552.6325719936,3561.43381475888,5886.7356606894,3861.0199793107,0
2018-02-17,59181.12878,208.650571,756.302145,64299.78367,0,458.5,235.75,0,0.885,0.695709489583333,0,0,0,4916.61865854288,3557.33621825754,0
2018-02-18,57736.77533,200.208625,878.474265,59748.448,0,363,191.5,0.249744550561798,0.919166666666667,0.71833325,0,0,1245.84004849061,4744.982746368,3583.37480837634,0
2018-02-19,55921.74711,196.26787,1028.819217,59140.81667,0,267.5,147.25,0.2215038125,0.886875,0.661566729166667,2.78521956521739,0,1070.22644811583,4531.72421815542,3196.45157686688,13457.1753364531
2018-02-20,57121.27822,501.2988,1075.147534,60801.479,27.191874,172,103,0.231734322916667,0.833020833333333,0.668718302083333,3.560765,404.0930011392,1143.67340728335,4376.064848067,3300.31101750694,17573.3667280257
2018-02-21,58476.15844,343.459187,934.395407,61329.46933,21.639937,435,240,0.203298395833333,0.947395833333333,0.785648895833333,5.89935208333333,813.315392208,1027.13263534205,5020.12371200715,3969.36541246703,29805.5330310249
2018-02-22,59633.411,304.275815,1002.866584,59940.17633,23.343373,165,32.2,0.151483510416667,0.9853125,0.752841704918033,4.52619177083333,332.783125488,780.492536904948,5102.76715114923,3878.88642495226,23320.4187572573
2018-02-23,66911.22189,412.923837,982.15051,61999.04367,22.775561,158,16.9,0.137949604166667,0.873333333333333,0.582638026315789,3.90638791666667,310.9137383232,797.504535996494,4678.19983916352,3368.30592329575,22583.334701995
2018-02-24,89475.18867,746.295163,1026.719973,86109.619,49.399623,145.666666666667,15.4666666666667,0.09715553125,0.8184375,0.39855621875,3.7185515625,621.7238952288,751.076019843365,6089.069488347,3081.10114381749,28746.8440675612
2018-02-25,89209.71867,584.56494,1488.464264,99931.47756,23.154102,133.333333333333,14.0333333333333,0.05039734375,0.756770833333333,0.416925427083333,2.88858520833333,266.73525504,388.4485989012,6534.0196602606,3213.54432487933,22264.4050954335
2018-02-26,85838.19718,499.52605,1382.243297,94954.66519,20.945945,121,12.6,0.00371855208333333,0.6703125,0.370976229166667,2.66062614583333,218.977287408,27.5783449207622,5499.29943447885,2751.31561319722,19732.3215893256
2018-02-27,83188.46578,446.638527,1272.75055,90881.75829,22.775561,128,8.3,0,0.595,0.317338083333333,2.50623572916667,251.8794842112,0,4672.04943017232,2280.86221991608,18013.5278086229
2018-02-28,80677.31622,414.605147,1320.97872,90839.57752,21.387576,118,7,0,0.547708333333333,0.267786354166667,2.53567427083333,218.0506148352,0,4298.71048740144,1866.61016995724,17674.9685261803
2018-03-01,80283.04411,375.81703,1243.018099,84207.50042,15.141647,133,6,0,0.513229166666667,0.2668160625,2.273314375,173.9956940064,0,3734.01319112406,1850.75761377116,15768.7428882835
2018-03-02,72163.595,329.241793,1160.806111,86961.99605,2.081976,120,8.6,0,0.4328125,0.199984708333333,1.75673166666667,21.585927168,0,3251.94384228975,1246.89157905829,10953.1070654695
2018-03-03,44436.72833,301.320249,1076.224695,61149.53967,16.15109,274,102.4,0,0.429583333333333,0.36719396875,5.81104,382.354444224,0,2269.62631439172,1409.78004195671,22310.5195406675
2018-03-04,47086.51222,277.383704,980.199516,46923.29733,16.781992,428,196.2,0,0.502604166666667,0.450370625,7.129754375,620.5846385664,0,2037.64418655525,1832.23139940791,29005.7990259487
2018-03-05,43863.50978,271.640703,908.130264,50474.696,14.447655,582,290,0,0.451666666666667,0.417237104166667,6.67696518518519,726.497442144,0,1969.724536704,1581.24820025032,25304.4110333742
2018-03-06,48953.65122,254.579831,797.775986,47047.18333,17.223624,565,308,0,0.358125,0.384283135416667,0,840.788429184,0,1455.73394659686,1625.3622069911,0
2018-03-07,56349.44878,237.32723,726.638895,59742.54867,17.854525,619,313,0,0.316458333333333,0.35671515625,0,954.88856424,0,1633.48076573514,1736.70068962014,0
2018-03-08,43481.03633,223.767613,699.129993,47834.74433,8.769537,611,310,0,0.413333333333333,0.450002489583333,0,462.9473660448,0,1708.27438951296,1690.55204528131,0
2018-03-09,38537.00171,219.490596,676.41756,44380.14836,18.927059,557,295,0,0.406210526315789,0.256966045454545,0,910.8609289632,0,1557.59184777212,855.5933606193,0
2018-03-10,31112.88736,216.965681,658.926037,37201.65569,11.293145,580.666666666667,292.666666666667,0,0.408901098901099,0,0,566.572567392,0,1314.29933791903,0,0
2018-03-11,32924.43583,215.567796,649.62645,36242.42609,12.050227,604.333333333333,290.333333333333,0,0.498068181818182,0,0,629.1953726688,0,1559.62361669698,0,0
2018-03-12,40684.75233,213.196007,683.656973,39177.47267,8.958808,628,288,0,0.501904761904762,0,0,486.0977550336,0,1698.91431198912,0,0
2018-03-13,38787.13344,208.031141,612.434532,41959.00833,8.643357,576,304,0,0.368229166666667,0,0,430.1487618048,0,1334.92585001895,0,0
2018-03-14,39696.614,210.921814,585.304844,41286.48433,12.428769,506,357,0,0.3835,0,6.23950044444444,543.3658946496,0,1368.00288638395,0,21400.1603161292
2018-03-15,40711.29933,222.357672,585.828495,42035.69967,10.536063,550,297,0,0.287848101265823,0,7.549514375,500.67371376,0,1045.43104337769,0,26555.0866142483
2018-03-16,41689.60544,239.512933,625.490486,43044.48567,16.21418,521,270,0,0.304468085106383,0,6.90368770833333,729.871584192,0,1132.33007171526,0,24866.9582378165
2018-03-17,39589.44278,220.685211,658.926037,43224.41533,12.554949,467,243.333333333333,0,0.330104166666667,0,6.70959166666667,506.5771262112,0,1232.80354962693,0,22950.345199507
2018-03-18,41288.45078,213.296296,622.9696,43466.288,15.141647,413,216.666666666667,0,0.309791666666667,0,7.03486583333333,540.3024182304,0,1163.418664608,0,25095.6326911813
2018-03-19,45572.35,3589.523108,2753.283826,51772.54933,0,359,190,0,0.403473684210526,0,10.1768073958333,0,0,1804.79760933424,0,40070.6808646037
2018-03-20,48228.03322,3779.525887,2824.748283,81372.45433,49.651984,123,57.5,0,1.11052083333333,0,5.63648802083333,527.6615643648,0,7807.60562050917,0,23486.693602713
2018-03-21,44294.16111,2202.368617,1645.707523,59816.29033,19.873412,293,134,0,0.536041666666667,0,5.51024135416667,503.0993994624,0,2770.33167034362,0,21087.7791808127
2018-03-22,41270.75278,1977.191063,1322.516353,53206.08733,15.583278,423,221,0,0.389166666666667,0,5.83364197916667,569.5251777216,0,1789.00148038392,0,20801.5599682844
2018-03-23,38280.774,1162.463633,1152.700237,48288.993,16.592722,495,255,0,0.353020833333333,0,6.78994614583333,709.637534496,0,1472.862575493,0,22457.4676313026
2018-03-24,38045.78389,834.4607,1051.34969,44436.72833,15.709459,462.666666666667,244.333333333333,0,0.4025,0,7.287685625,627.9761978496,0,1545.33166440408,0,23955.7575467816
2018-03-25,40969.88678,720.22011,922.390263,45197.74233,11.987137,430.333333333333,233.666666666667,0,0.411666666666667,0,6.92704020833333,445.6913433696,0,1607.59329919344,0,24520.3245840319
2018-03-26,44237.13422,1338.091917,1083.292591,52917.02,84.414682,398,223,0,0.424166666666667,0,9.93900010416667,2902.7845528704,0,1939.30294896,0,37987.7369720211
2018-03-27,44229.26844,1944.272783,1151.225403,65054.89833,36.213773,254,118,0,1.07072916666667,0.317898780487805,7.00180854166667,794.7329767488,0,6018.29369940663,1214.82119510874,26756.7727295399
2018-03-28,43482.01956,1418.93715,1151.667853,55129.27,25.61462,422,189,0,0.644875,0.32220245,7.26869,933.929536896,0,3071.648562444,1210.46514334675,27307.3525132818
2018-03-29,42810.47878,1427.019237,1061.821007,51058.73,14.321474,430,205,0,0.516354166666667,0.283385322916667,6.07881260416667,532.071402048,0,2277.88312149,1048.19282092403,22484.4662590508
2018-03-30,41071.15867,1112.23081,974.54037,50141.38367,0,0,0,0,0.393854166666667,0.26535390625,3.7986684375,0,0,1706.26114490643,941.621102262552,13479.7577009429
2018-03-31,38620.96889,1031.852393,946.052651,45457.313,0,0,0,0,0.231354166666667,0.216012104166667,2.62141052083333,0,0,908.646229557,720.800359622001,8747.25818454918
2018-04-01,37246.42422,1014.124897,849.742457,45088.60467,0,0,0,0,0.213333333333333,0.211207322916667,2.46536427083333,0,0,831.07316127744,679.684396123414,7933.76670138819
2018-04-02,36812.82322,1216.7375,854.72491,42690.52567,0,0,0,0,0.223854166666667,0.229306291666667,2.69401489583333,0,0,825.67745698347,729.337994930197,8568.65901130784
2018-04-03,37384.07533,1247.296047,970.838195,43578.37533,0,0,0,0,0.235625,0.217240989583333,2.8031103125,0,0,887.16856496814,701.684944071588,9054.00176378111
2018-04-04,37714.438,1009.49392,1027.452733,44191.906,0,0,0,0,0.245416666666667,0.210022947916667,2.588091875,0,0,937.045174824,684.365539488223,8433.36840021044
2018-04-05,37931.73011,959.025123,945.309173,44056.22133,0,0,0,0,0.212021276595745,0.225761083333333,3.909174375,0,0,807.049983315278,739.887132874281,12811.542970645
2018-04-06,36758.746,929.439967,930.251125,43059.234,0,0,0,0,0.245729166666667,0.299630354166667,5.4984159375,0,0,914.190597054,951.612717545499,17462.7251869462
2018-04-07,37159.90067,882.06832,829.019506,42590.237,0,0,0,0,0.299375,0.256890775,3.331520375,0,0,1101.639070242,824.777482928197,10696.230680983
2018-04-08,37736.06889,870.505627,790.982613,42602.03567,0,0,0,0,0.2185,0.2477673,3.223629625,0,0,804.258270192528,807.819601088675,10510.3102698586
2018-04-09,36685.98756,891.064803,837.147578,42342.465,0,0,0,0,0.231354166666667,0.238038333333333,3.00046833333333,0,0,846.383532885,754.502803384591,9510.49243735263
2018-04-10,37592.51844,846.878797,807.286225,42156.636,0,0,0,0,0.226041666666667,0.211257854166667,2.41190541666667,0,0,823.31910108,686.164156849893,7833.8533407763
2018-04-11,37763.59911,832.041973,805.006171,42655.12967,0,0,0,0,0.210909090909091,0.207133677083333,2.35241510416667,0,0,777.285039281105,675.830575603169,7675.40110470269
2018-04-12,36378.239,827.82395,810.934566,42599.086,0,0,0,0,0.189479166666667,0.204283395833333,2.32543010416667,0,0,697.389636906,642.079025051611,7309.01250205948
2018-04-13,35251.46633,843.958627,825.277404,41395.622,0,0,0,0,0.188541666666667,0.206031125,2.649526875,0,0,674.33468238,627.514496571127,8069.73472147616
2018-04-14,33952.62978,905.60666,1132.76745,46831.85767,0,0,0,0,0.329166666666667,0.2080715,2.886125625,0,0,1331.8980321348,610.379246068065,8466.47033853855
2018-04-15,34728.39211,828.738347,949.07956,40841.08467,0,0,0,0,0.301354166666667,0.234224427083333,2.81770614583333,0,0,1063.37932155279,702.798141210345,8454.62049551339
2018-04-16,35906.29233,787.236537,845.889089,42849.80767,0,0,0,0,0.2446875,0.234129625,3.42579210526316,0,0,905.88778395147,726.341191922587,10627.8473773485
2018-04-17,36044.92667,5703.298487,788.917847,41100.65533,0,0,0,0,0.201354166666667,0.225799083333333,2.69880176470588,0,0,715.02810077601,703.201945038038,8404.82885137163
2018-04-18,32435.51789,836.58446,784.095304,43705.211,0,0,0,0,0.186979166666667,0.225545364583333,2.94381489583333,0,0,706.057683705,632.074813166818,8249.83148609141
2018-04-19,33626.2,252.842477,724.224515,38779.26767,0,0,0,0,0.185,0.219896104166667,2.34811416666667,0,0,619.84781443728,638.86496065308,6821.9847294768
2018-04-20,33817.92833,209.093021,670.246344,38566.89167,0,0,0,0,0.187916666666667,0.239633620253165,2.42647927083333,0,0,626.17205315412,700.178048223548,7089.85457930353
2018-04-21,32437.48433,193.678063,676.085955,37493.213,0,0,0,0,0.184583333333333,0.227056416666667,2.78770916666667,0,0,597.941760924,636.348005941042,7812.82993625401
2018-04-22,35626.074,230.094648,680.606087,38466.603,0,0,0,0,0.179791666666667,0.240801239583333,2.71892875,0,0,597.540211002,741.208560251405,8369.11499168686
2018-04-23,35259.33211,234.575191,680.855101,40445.82933,0,0,0,0,0.190120481927711,0.208731979166667,2.07715125,0,0,664.379760745631,635.882415155865,6327.84664222142
2018-04-24,34502.251,205.223058,653.996287,39416.39567,0,0,0,0,0.193125,0.230299145833333,2.84919166666667,0,0,657.70197814962,686.520483951796,8493.42464903016
2018-04-25,35275.06367,974.513823,702.829001,38965.09667,0,0,0,0,0.181770833333333,0.237650354166667,3.346711875,0,0,611.94684320235,724.302550750512,10199.9929947065
2018-04-26,40059.423,888.911547,965.125631,43929.38567,0,0,0,0,0.205875,0.25949465625,3.38929677083333,0,0,781.398340543692,898.145815762801,11730.8107885259
2018-04-27,39271.862,777.679617,973.537483,44534.06733,0,0,0,0,0.188947368421053,0.201747125,2.36520625,0,0,727.020993060531,684.545925763879,8025.35501821284
2018-04-28,43306.02278,731.428843,921.859323,46342.213,0,0,0,0,0.200729166666667,0.18039575,2.11654708333333,0,0,803.713000059,674.976020450272,7919.35800817904
2018-04-29,36644.69222,649.78207,857.453174,44303.99333,0,0,0,0,0.193333333333333,0.202041729166667,2.4366371875,0,0,740.05390458432,639.684603150546,7714.64042966108
2018-04-30,38450.87144,622.940103,783.260763,41855.77,0,0,0,0,0.188125,0.211342322916667,2.05976458333333,0,0,680.32368558,702.112016589095,6842.85781165187
2018-05-01,38199.16656,632.52652,731.495382,42855.707,0,0,0,0,0.1853125,0.189510697916667,2.0150725,0,0,686.162724777,625.462621743219,6650.56138100909
2018-05-02,41599.149,1033.622193,3595.300079,42501.747,0,0,0,0,0.182083333333333,0.198503114583333,2.50934125,0,0,668.637483804,713.453239340596,9018.99019157152
2018-05-03,84411.59422,1513.061013,31082.30811,70237.46267,0,0,0,0,0.24875,0.21669896875,3.4153228125,0,0,1509.54354770364,1580.42062811671,24908.5016679507
2018-05-04,195079.1547,898.468467,42613.83433,218770.8773,0,0,0,0.893002447916667,0.750104166666667,0.480703368421053,2.6137825,0,15051.4124559507,14178.3217869357,8102.17786518907,44054.883129858
2018-05-05,112848.3473,861.597633,17770.85677,178089.0747,0,0,0,0.720219625,1.62916666666667,0,2.70209229166667,0,7022.21135393743,25067.818154772,0,26345.6625052788
2018-05-06,81054.87356,823.959887,6893.960933,103427.112,0,0,0,0.62139240625,1.236875,0,2.52671125,0,4351.69868426536,11052.841750992,0,17694.9153410152
2018-05-07,93338.26878,779.360927,4141.921933,87071.21033,0,0,0,0.27971390625,1.19554347826087,0.459579342857143,1.94602875,0,2255.73221632892,8994.01688533255,3706.24379581461,15693.6056706237
2018-05-08,134325.8536,742.34261,3021.962997,124396.2923,0,0,0,0.992007823529412,1.05583333333333,1.3771941625,2.59839575,0,11512.9985189875,11347.9273687752,15983.3763173448,30156.3412222489
2018-05-09,115072.396,643.646763,2459.786027,124649.9637,0,0,0,0,2.11578947368421,2.29860572916667,3.24315552083333,0,0,22786.5382063124,22853.3243369359,32244.2792394842
2018-05-10,112182.7059,577.13178,2102.61089,115048.7987,0,0,0,0,2.18294736842105,2.04916333333333,2.96663614583333,0,0,21698.9688120914,19861.6914055639,28754.3753504925
2018-05-11,98763.689,557.487,1780.083469,105341.4457,0,0,0,0,1.93291666666667,1.63543854166667,2.75311,0,0,17592.4427976828,13955.4959190722,23492.7907046891
2018-05-12,90789.75678,542.97464,1566.039537,95194.59233,0,0,0,0,1.79625,1.54074239583333,2.274594375,0,0,14773.8199512467,12085.9454054888,17842.4527748607
2018-05-13,81298.71267,532.296847,1394.130453,85796.95433,0,0,0,0,1.776875,1.4062646875,2.14570583333333,0,0,13171.7200226503,9877.89675747138,15071.8857423992
2018-05-14,79044.18411,537.48826,1224.29055,79661.64767,0,0,0,0,1.60145833333333,1.20842208333333,2.093335625,0,0,11022.4635415072,8252.81893188776,14296.2629656195
2018-05-15,76896.82678,527.695367,1101.729997,76850.61533,0,0,0,0.778502615384615,1.43191489361702,1.04474186458333,2.29639489583333,0,5172.28249792387,9507.76191429059,6941.14567407465,15256.9855172193
2018-05-16,73668.90822,528.491777,1047.198355,75490.819,0,0,0,0.617209677083333,1.30083333333333,0.876817104166667,2.33791197916667,0,3928.53568782654,8484.564129048,5580.93531795094,14880.7949488993
2018-05-17,51875.78767,550.85025,1157.012398,63043.22567,0,0,0,0.373232583333333,1.09536842105263,0.79899071875,2.3450184375,0,1672.85383872701,5966.40025960237,3581.13077650158,10510.5322263731
2018-05-18,43834.99633,511.885153,1972.825557,51144.27033,0,0,0,0.09230815625,0.783473684210526,0.507419760416667,2.1470740625,0,349.602712454691,3462.06440750724,1921.77302419878,8131.70738735358
2018-05-19,44390.51689,1236.972213,2646.965043,47899.637,0,0,0,0,0.337625,0.2183102125,2.170976,0,0,1397.2707309996,837.2940343408,8326.43252315579
2018-05-20,48377.483,989.170717,2213.358049,49828.719,0,0,0,0,0.212291666666667,0.157116916666667,1.857526875,0,0,913.958363898,656.719571380673,7764.11782421953
2018-05-21,65770.68411,772.42921,1949.936143,59592.11567,0,0,0,0,0.2128125,0.150007666666667,1.48939145833333,0,0,1095.72023082429,852.431632566755,8463.59669855583
2018-05-22,65632.04978,643.027333,1339.712519,66464.839,0,0,0,0,0.234021739130435,0.151244635416667,1.32795885416667,0,0,1343.8843672727,857.649206069967,7530.33556418041
2018-05-23,57964.88289,577.898693,1066.678952,61391.41233,0,0,0,0,0.234,0.150475864583333,1.26486741666667,0,0,1241.18701792301,753.608091024958,6334.66584101896
2018-05-24,55200.062,625.506313,897.427106,57220.58367,0,0,0,0,0.225625,0.150509677083333,1.19637633333333,0,0,1115.45805806298,717.823598970238,5705.86012778874
2018-05-25,57558.81211,664.677887,827.603666,57589.292,0,0,0,0,0.222105263157895,0.1527085625,1.46952704166667,0,0,1105.13245144926,759.43210664382,7308.07754819234
2018-05-26,53868.77911,545.45236,708.814215,57518.5,0,0,0,0,0.236770833333333,0.167781833333333,1.36016410416667,0,0,1176.6559545,780.90069759876,6330.56080441293
2018-05-27,52065.54956,517.6665,616.15587,53209.037,0,0,0,0,0.246881720430108,0.170284291666667,1.34301307291667,0,0,1134.97965477987,766.017667618012,6041.49526434274
2018-05-28,49410.84956,498.1987,570.599428,51908.234,0,0,0,0,0.237191011235955,0.172201239583333,1.27799963541667,0,0,1063.77118680378,735.143864523633,5455.90492329379
2018-05-29,49909.34322,488.64178,514.311411,49926.058,0,0,0,0,0.242872340425532,0.1809010625,1.2876655,0,0,1047.65689912443,780.075637963935,5552.62900347337
2018-05-30,51705.69022,493.42024,488.925771,50079.44067,0,0,0,0,0.239178082191781,0.177044645833333,1.34657077083333,0,0,1034.89095542581,790.924228925871,6015.63206615169
2018-05-31,54860.85033,473.126533,423.95559,53403.715,0,0,0,0,0,0.179360460526316,1.25159522368421,0,0,0,850.164541636673,5932.5331599604
2018-06-01,54127.36656,465.663877,355.611813,52728.24133,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-02,54509.84,543.623567,770.089693,53383.06733,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-03,66294.74156,491.65044,1196.96604,59828.089,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-04,67421.51422,482.417983,1194.26104,66848.29567,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-05,46931.16311,473.008547,1047.426633,56020.06933,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-06,39613.04011,510.23334,620.904833,47318.55267,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-07,37853.07233,516.7816,441.594597,41664.04167,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-08,43315.855,515.0118,358.609917,42174.334,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-09,46383.50833,503.5081,308.316015,46764.01533,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-10,46649.96156,506.87072,294.187453,46985.24033,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-11,50125.65211,490.05762,246.671774,48123.81167,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-12,63011.76256,3832.05945,439.142661,60435.72033,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-13,70300.38889,875.933013,408.38135,67969.169,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-14,64481.67978,636.2431,1226.102692,66175.77167,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-15,59345.32689,545.45236,884.762983,61857.45967,0,0,0,0.0971127971014493,0,0,0,0,497.939675545822,0,0,0
